game_id,score_to_money_rate,player1_id,player1_score,player2_id,player2_score,player3_id,player3_score,player4_id,player4_score
716878,30,叶落纷飞,-17,king,26,vincent,19,clare,-28
554267,30,悠宝宝,-24,alvinpan,33,vincent,15,牛牛,-24
974462,30,悠宝宝,90,alvinpan,-46,king,78,浩浩,-122
376217,30,alvinpan,38,vincent,3,micheal,-58,kimi,17
440777,30,king,28,kimi,35,micheal,-45,vincent,-18
906311,30,micheal,-34,vincent,-32,suki,13,叶落纷飞,53
205257,30,king,-37,悠宝宝,15,叶落纷飞,-6,micheal,28
405740,30,叶落纷飞,-15,kimi,31,king,-35,悠宝宝,19
414983,30,king,-37,叶落纷飞,103,悠宝宝,-18,人生如梦,-48
